#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-16T19:38:43 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-16T19:38:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73880500
#Name: J/MNRAS/388/500
#Title: GHASP: H{alpha} data cubes for 108 galaxies (Epinat+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/388/500	    IVOID of underlying data collection
#INFO	creator=Epinat B.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.388..500E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/388/500	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73880500	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_388_500_galaxies:
#Name: J/MNRAS/388/500/galaxies
#Title: Model and galaxy parameters
#Column	Name	(a9)	Name	[ucd=meta.id;meta.main]
#Column	Vsys-L	(I4)	Systemic velocity found in HyperLeda data base	[ucd=phys.veloc]
#Column	Vsys-FP	(I4)	? Systemic velocity deduced from our velocity field analysis	[ucd=phys.veloc]
#Column	i-L	(I2)	Morphological inclination from HyperLeda	[ucd=src.morph]
#Column	i-FP	(I2)	? Inclination deduced from the analysis of our velocity field	[ucd=src.orbital.inclination]
#Column	l_Vres	(A1)	Limit flag on Res	[ucd=meta.code.error]
#Column	Vres	(F7.1)	? Mean residual velocity in the whole velocity field	[ucd=stat.fit.residual;phys.veloc;stat.mean]
#Column	sigres	(I2)	? Residual velocity dispersion in the whole velocity field	[ucd=stat.fit.residual;phys.veloc]
#Column	chi2	(F4.1)	? Reduced {chi}^2^ of the model	[ucd=stat.fit.chi2]
#Column	T	(F4.1)	RC3 morphological type from HyperLeda data base	[ucd=src.morph.type]
#Column	MType	(a11)	Morphological type from the HyperLeda data base	[ucd=src.morph.type]
#Column	Dist	(F5.1)	Distance (1)	[ucd=pos.distance]
#Column	i	(I2)	Inclination derived from the axial ratio, arccos(b/a)	[ucd=src.orbital.inclination]
#Column	D25	(I3)	Isophotal radius at the limiting surface brightness of 25Bmag/arcsec^2^	[ucd=phys.angSize]
#Column	Vmax	(I3)	? Maximum velocity (3)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	q_Vmax	(I1)	[1/4]? Quality flag on Vmax (5)	[ucd=meta.code.qual]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Vsys-L	Vsys-FP	i-L	i-FP	l_Vres	Vres	sigres	chi2	T	MType	Dist	i	D25	Vmax	q_Vmax	Simbad	NED	LEDA	_RA	_DE
UGC 9179 	 2.00	 0.01	 72.4	 0.4	 82	  5	16	a
UGC 9179 	 2.03	 0.01	 73.5	 0.4	 78	  4	16	a
UGC 9179 	 2.04	 0.03	 73.8	 1.1	 72	  8	16	r
UGC 9179 	 2.07	 0.01	 74.9	 0.4	 76	  4	16	a
UGC 9179 	 2.10	 0.01	 76.0	 0.4	 83	  3	16	a
UGC 9179 	 2.13	 0.01	 77.1	 0.4	 84	  3	16	a
UGC 9179 	 2.14	 0.03	 77.4	 1.1	 80	  7	16	r
UGC 9179 	 2.16	 0.01	 78.2	 0.4	 80	  3	16	a
UGC 9179 	 2.21	 0.01	 80.0	 0.4	 90	  4	16	a
UGC 9179 	 2.25	 0.01	 81.4	 0.4	 82	  5	16	a
UGC 9179 	 2.30	 0.01	 83.2	 0.4	 86	  6	16	a
UGC 9179 	 2.30	 0.06	 83.2	 2.2	108	  5	16	r
UGC 9179 	 2.33	 0.01	 84.3	 0.4	 92	  4	16	a
UGC 9179 	 2.37	 0.01	 85.8	 0.4	 86	  4	16	a
UGC 9179 	 2.40	 0.01	 86.8	 0.4	 85	  3	16	a
UGC 9179 	 2.43	 0.01	 87.9	 0.4	 85	  3	16	a
UGC 9179 	 2.47	 0.01	 89.4	 0.4	 84	  4	16	a
UGC 9179 	 2.51	 0.01	 90.8	 0.4	 92	  4	16	a
UGC 9179 	 2.54	 0.10	 91.9	 3.6	107	  3	16	r
UGC 9179 	 2.56	 0.02	 92.6	 0.7	 98	  3	16	a
UGC 9179 	 2.61	 0.01	 94.4	 0.4	101	  5	16	a
UGC 9179 	 2.65	 0.01	 95.9	 0.4	110	  3	16	a
UGC 9179 	 2.69	 0.01	 97.3	 0.4	103	  3	16	a
UGC 9179 	 2.73	 0.01	 98.8	 0.4	 94	  4	16	a
UGC 9179 	 2.79	 0.02	101.0	 0.7	107	  4	16	a
UGC 9179 	 2.80	 0.05	101.3	 1.8	114	  4	16	r
UGC 9179 	 2.85	 0.02	103.1	 0.7	109	  5	16	a
UGC 9179 	 2.90	 0.02	104.9	 0.7	103	  4	16	r
UGC 9179 	 2.91	 0.02	105.3	 0.7	104	  5	16	a
UGC 9179 	 2.97	 0.02	107.5	 0.7	 99	  3	16	a
UGC 9179 	 2.99	 0.04	108.2	 1.4	111	  3	16	r
UGC 9179 	 3.05	 0.02	110.4	 0.7	104	  5	16	a
UGC 9179 	 3.11	 0.02	112.5	 0.7	106	  4	16	a
UGC 9179 	 3.15	 0.05	114.0	 1.8	111	  5	16	r
UGC 9179 	 3.18	 0.02	115.1	 0.7	102	  4	16	a
UGC 9179 	 3.24	 0.02	117.2	 0.7	113	  3	16	a
UGC 9179 	 3.30	 0.01	119.4	 0.4	 99	  3	16	a
UGC 9179 	 3.33	 0.05	120.5	 1.8	 99	  5	16	r
UGC 9179 	 3.35	 0.01	121.2	 0.4	101	  3	16	a
UGC 9179 	 3.39	 0.01	122.7	 0.4	109	  4	16	a
UGC 9179 	 3.45	 0.03	124.8	 1.1	106	  6	16	r
UGC 9179 	 3.46	 0.03	125.2	 1.1	116	  5	16	a
UGC 9179 	 3.53	 0.03	127.7	 1.1	106	  2	16	r
UGC 9179 	 3.56	 0.03	128.8	 1.1	116	  5	16	a
UGC 9179 	 3.65	 0.04	132.1	 1.4	110	  4	16	r
UGC 9179 	 3.71	 0.05	134.3	 1.8	114	  5	16	a
UGC 9179 	 3.77	 0.02	136.4	 0.7	106	  5	16	r
UGC 9179 	 3.84	 0.02	139.0	 0.7	104	  3	16	r
UGC 9179 	 3.91	 0.03	141.5	 1.1	108	  3	16	r
UGC 9179 	 3.93	 0.08	142.2	 2.9	107	  6	13	a
UGC 9179 	 4.01	 0.02	145.1	 0.7	112	  4	16	r
UGC 9179 	 4.11	 0.04	148.7	 1.4	112	  4	16	r
UGC 9179 	 4.20	 0.02	152.0	 0.7	111	  3	16	r
UGC 9179 	 4.26	 0.02	154.2	 0.7	113	  3	16	r
UGC 9179 	 4.33	 0.02	156.7	 0.7	106	  3	16	r
UGC 9179 	 4.41	 0.02	159.6	 0.7	108	  2	16	r
UGC 9179 	 4.51	 0.05	163.2	 1.8	100	  3	16	r
UGC 9179 	 4.79	 0.12	173.3	 4.3	105	  5	11	r
UGC 9248 	 0.44	 0.00	  1.7	 0.0	 40	 14	 1	a
UGC 9248 	 0.96	 0.23	  3.6	 0.9	 57	  1	 3	r
UGC 9248 	 1.36	 0.00	  5.1	 0.0	113	 14	 1	a
UGC 9248 	 1.56	 0.18	  5.9	 0.7	124	  6	 4	r
UGC 9248 	 2.19	 0.20	  8.2	 0.8	123	 14	 4	a
UGC 9248 	 2.19	 0.17	  8.2	 0.6	133	  4	 6	r
UGC 9248 	 3.04	 0.47	 11.4	 1.8	150	  4	24	r
UGC 9248 	 4.00	 0.80	 15.0	 3.0	158	  6	24	a
UGC 9248 	 4.41	 0.34	 16.6	 1.3	158	  4	24	r
UGC 9248 	 5.36	 0.23	 20.1	 0.9	152	  4	24	r
UGC 9248 	 6.02	 0.16	 22.6	 0.6	151	  3	24	r
UGC 9248 	 6.68	 0.20	 25.1	 0.8	169	  3	24	r
UGC 9248 	 7.10	 2.04	 26.7	 7.7	168	  6	24	a
UGC 9248 	 7.52	 0.30	 28.3	 1.1	170	  3	24	r
UGC 9248 	 9.18	 1.36	 34.5	 5.1	162	  6	22	r
UGC 9358 	 0.52	 0.07	  3.7	 0.5	215	  4	 2	a
UGC 9358 	 0.79	 0.06	  5.6	 0.4	197	 36	 2	a
UGC 9358 	 1.01	 0.09	  7.2	 0.6	222	 10	 5	a
UGC 9358 	 1.01	 0.07	  7.2	 0.5	170	 30	 2	r
UGC 9358 	 1.37	 0.09	  9.7	 0.6	216	  8	 7	a
UGC 9358 	 1.40	 0.00	  9.9	 0.0	263	 30	 1	r
UGC 9358 	 1.67	 0.09	 11.8	 0.6	230	  8	11	a
UGC 9358 	 1.69	 0.06	 12.0	 0.4	173	 26	 2	r
UGC 9358 	 1.94	 0.08	 13.8	 0.6	228	  8	11	a
UGC 9358 	 1.96	 0.07	 13.9	 0.5	190	 11	 3	r
UGC 9358 	 2.19	 0.10	 15.5	 0.7	214	 15	 4	r
UGC 9358 	 2.23	 0.09	 15.8	 0.6	226	  5	14	a
UGC 9358 	 2.52	 0.09	 17.9	 0.6	219	  6	16	a
UGC 9358 	 2.54	 0.12	 18.0	 0.9	210	 16	 2	r
UGC 9358 	 2.79	 0.08	 19.8	 0.6	233	  4	21	a
UGC 9358 	 3.07	 0.07	 21.8	 0.5	220	  5	21	a
UGC 9358 	 3.09	 0.19	 21.9	 1.3	201	  5	21	r
UGC 9358 	 3.36	 0.09	 23.8	 0.6	211	  4	21	a
UGC 9358 	 3.52	 0.08	 25.0	 0.6	211	  4	21	r
UGC 9358 	 3.65	 0.08	 25.9	 0.6	208	  5	21	a
UGC 9358 	 3.77	 0.06	 26.7	 0.4	210	  5	21	r
UGC 9358 	 3.91	 0.08	 27.7	 0.6	197	  5	21	a
UGC 9358 	 3.96	 0.05	 28.1	 0.4	200	  7	21	r
UGC 9358 	 4.14	 0.06	 29.3	 0.4	206	  6	21	r
UGC 9358 	 4.16	 0.08	 29.5	 0.6	201	  6	21	a
UGC 9358 	 4.34	 0.06	 30.8	 0.4	225	  5	21	r
UGC 9358 	 4.42	 0.07	 31.3	 0.5	193	  5	21	a
UGC 9358 	 4.57	 0.08	 32.4	 0.6	220	  4	21	r
UGC 9358 	 4.63	 0.06	 32.8	 0.4	194	  4	21	a
UGC 9358 	 4.83	 0.05	 34.2	 0.4	200	  4	21	a
UGC 9358 	 4.89	 0.10	 34.7	 0.7	229	  5	21	r
UGC 9358 	 5.00	 0.07	 35.4	 0.5	196	  3	21	a
UGC 9358 	 5.21	 0.05	 36.9	 0.4	199	  3	21	a
UGC 9358 	 5.29	 0.13	 37.5	 0.9	229	  6	21	r
UGC 9358 	 5.38	 0.05	 38.1	 0.4	198	  1	21	a
UGC 9358 	 5.53	 0.05	 39.2	 0.4	197	  3	21	a
UGC 9358 	 5.69	 0.04	 40.3	 0.3	202	  2	21	a
UGC 9358 	 5.79	 0.20	 41.0	 1.4	229	  4	21	r
UGC 9358 	 5.89	 0.06	 41.7	 0.4	206	  4	21	a
UGC 9358 	 6.11	 0.07	 43.3	 0.5	202	  4	21	a
UGC 9358 	 6.37	 0.08	 45.2	 0.6	210	  3	21	a
UGC 9358 	 6.64	 0.08	 47.1	 0.6	210	  4	21	a
UGC 9358 	 6.97	 0.08	 49.4	 0.6	211	  3	21	a
UGC 9358 	 7.26	 0.07	 51.5	 0.5	216	  4	21	a
UGC 9358 	 7.27	 1.24	 51.5	 8.8	211	  7	21	r
UGC 9358 	 7.57	 0.06	 53.7	 0.4	215	  3	21	a
UGC 9358 	 7.81	 0.06	 55.4	 0.4	228	  3	21	a
UGC 9358 	 8.04	 0.05	 57.0	 0.4	223	  2	21	a
UGC 9358 	 8.34	 0.10	 59.1	 0.7	224	  3	21	a
UGC 9358 	 8.66	 0.10	 61.4	 0.7	229	  4	21	a
UGC 9358 	 9.04	 0.12	 64.1	 0.9	233	  2	21	a
UGC 9358 	 9.52	 0.16	 67.5	 1.1	242	  4	21	a
UGC 9358 	10.68	 0.62	 75.7	 4.4	244	  3	14	a
UGC 9363 	 0.27	 0.00	  2.5	 0.0	 24	 22	 1	r
UGC 9363 	 0.40	 0.04	  3.7	 0.4	 36	 12	 2	a
UGC 9363 	 0.48	 0.03	  4.4	 0.3	 31	 11	 2	r
UGC 9363 	 0.57	 0.03	  5.3	 0.3	 27	 15	 6	a
UGC 9363 	 0.68	 0.04	  6.3	 0.4	 41	 12	 7	a
UGC 9363 	 0.71	 0.02	  6.6	 0.2	 63	 22	 4	r
UGC 9363 	 0.81	 0.06	  7.5	 0.6	 44	 15	 6	r
UGC 9363 	 0.84	 0.04	  7.8	 0.4	 53	 18	 6	a
UGC 9363 	 0.98	 0.06	  9.1	 0.6	 29	 10	14	a
UGC 9363 	 0.98	 0.04	  9.1	 0.4	 61	  9	16	r
UGC 9363 	 1.14	 0.03	 10.5	 0.3	 52	  8	12	a
UGC 9363 	 1.14	 0.04	 10.5	 0.4	 71	  4	18	r
UGC 9363 	 1.27	 0.04	 11.7	 0.4	 54	  6	25	r
UGC 9363 	 1.29	 0.04	 11.9	 0.4	 64	 11	15	a
UGC 9363 	 1.31	 0.04	 12.1	 0.4	 51	  6	23	r
UGC 9363 	 1.34	 0.07	 12.4	 0.6	 59	  8	23	a
UGC 9363 	 1.47	 0.06	 13.6	 0.6	 71	  5	23	r
UGC 9363 	 1.60	 0.06	 14.8	 0.6	 73	  7	23	a
UGC 9363 	 1.64	 0.04	 15.2	 0.4	 84	  6	23	r
UGC 9363 	 1.78	 0.05	 16.5	 0.5	 70	  6	23	a
UGC 9363 	 1.79	 0.05	 16.6	 0.5	 75	  4	23	r
UGC 9363 	 1.93	 0.03	 17.9	 0.3	 68	  4	23	a
UGC 9363 	 1.96	 0.06	 18.1	 0.6	 75	  6	23	r
UGC 9363 	 2.04	 0.03	 18.9	 0.3	 89	  7	23	a
UGC 9363 	 2.13	 0.05	 19.7	 0.5	 89	  6	23	r
UGC 9363 	 2.14	 0.04	 19.8	 0.4	 74	  5	23	a
UGC 9363 	 2.27	 0.03	 21.0	 0.3	 79	  6	23	a
UGC 9363 	 2.28	 0.05	 21.1	 0.5	 79	  7	23	r
UGC 9363 	 2.37	 0.04	 21.9	 0.4	 89	  6	23	a
UGC 9363 	 2.43	 0.05	 22.5	 0.5	 82	  7	23	r
UGC 9363 	 2.50	 0.05	 23.1	 0.5	 97	  6	23	a
UGC 9363 	 2.57	 0.04	 23.8	 0.4	102	  7	23	r
UGC 9363 	 2.64	 0.04	 24.4	 0.4	 83	  7	23	a
UGC 9363 	 2.71	 0.04	 25.1	 0.4	 91	  6	23	r
UGC 9363 	 2.79	 0.03	 25.8	 0.3	 94	  7	23	a
UGC 9363 	 2.85	 0.05	 26.4	 0.5	107	  7	23	r
UGC 9363 	 2.92	 0.04	 27.0	 0.4	100	  6	23	a
UGC 9363 	 2.99	 0.04	 27.7	 0.4	107	  6	23	r
UGC 9363 	 3.05	 0.03	 28.2	 0.3	111	  6	23	a
UGC 9363 	 3.12	 0.03	 28.9	 0.3	105	  6	23	r
UGC 9363 	 3.21	 0.03	 29.7	 0.3	103	  7	23	r
UGC 9363 	 3.22	 0.04	 29.8	 0.4	 81	  8	23	a
UGC 9363 	 3.33	 0.04	 30.8	 0.4	109	  4	23	r
UGC 9363 	 3.44	 0.04	 31.8	 0.4	111	  7	23	r
UGC 9363 	 3.45	 0.07	 31.9	 0.6	 83	  5	23	a
UGC 9363 	 3.55	 0.03	 32.8	 0.3	 98	  4	23	r
UGC 9363 	 3.63	 0.06	 33.6	 0.6	104	  7	23	a
UGC 9363 	 3.67	 0.03	 33.9	 0.3	118	  6	23	r
UGC 9363 	 3.75	 0.03	 34.7	 0.3	114	  6	23	r
UGC 9363 	 3.81	 0.05	 35.2	 0.5	102	  5	23	a
UGC 9363 	 3.87	 0.03	 35.8	 0.3	130	  6	23	r
UGC 9363 	 3.98	 0.05	 36.8	 0.5	109	  7	23	a
UGC 9363 	 3.99	 0.04	 36.9	 0.4	114	  7	23	r
UGC 9363 	 4.11	 0.03	 38.0	 0.3	109	  7	23	r
UGC 9363 	 4.17	 0.06	 38.6	 0.6	107	  5	23	a
UGC 9363 	 4.24	 0.03	 39.2	 0.3	112	  7	23	r
UGC 9363 	 4.35	 0.05	 40.2	 0.5	124	  8	23	r
UGC 9363 	 4.40	 0.08	 40.7	 0.7	110	  7	23	a
UGC 9363 	 4.51	 0.04	 41.7	 0.4	115	  9	23	r
UGC 9363 	 4.63	 0.05	 42.8	 0.5	103	  7	23	a
UGC 9363 	 4.67	 0.05	 43.2	 0.5	118	 10	23	r
UGC 9363 	 4.80	 0.05	 44.4	 0.5	103	  7	23	a
UGC 9363 	 4.85	 0.07	 44.9	 0.6	120	 10	23	r
UGC 9363 	 4.95	 0.04	 45.8	 0.4	120	  5	23	a
UGC 9363 	 5.02	 0.05	 46.4	 0.5	115	  7	23	r
UGC 9363 	 5.13	 0.06	 47.5	 0.6	127	  7	23	a
UGC 9363 	 5.17	 0.04	 47.8	 0.4	108	  8	23	r
UGC 9363 	 5.29	 0.03	 48.9	 0.3	123	  6	23	r
UGC 9363 	 5.31	 0.05	 49.1	 0.5	125	  6	23	a
UGC 9363 	 5.44	 0.06	 50.3	 0.6	132	  7	23	r
UGC 9363 	 5.48	 0.05	 50.7	 0.5	128	  6	23	a
UGC 9363 	 5.62	 0.05	 52.0	 0.5	116	 10	23	r
UGC 9363 	 5.70	 0.10	 52.7	 0.9	122	  7	23	a
UGC 9363 	 5.87	 0.10	 54.3	 0.9	112	 10	23	r
UGC 9363 	 6.18	 0.18	 57.2	 1.7	130	  9	23	a
UGC 9363 	 6.22	 0.07	 57.5	 0.6	133	  8	23	r
UGC 9363 	 6.55	 0.13	 60.6	 1.2	130	  9	23	r
UGC 9363 	 6.69	 0.12	 61.9	 1.1	119	  8	23	a
UGC 9363 	 7.00	 0.06	 64.7	 0.6	105	 10	23	a
UGC 9363 	 7.02	 0.12	 64.9	 1.1	118	 11	23	r
UGC 9363 	 7.18	 0.05	 66.4	 0.5	120	  8	23	a
UGC 9363 	 7.35	 0.05	 68.0	 0.5	133	  8	23	a
UGC 9363 	 7.42	 0.12	 68.6	 1.1	113	  8	23	r
UGC 9363 	 7.48	 0.03	 69.2	 0.3	140	  6	23	a
UGC 9363 	 7.59	 0.02	 70.2	 0.2	131	  6	23	a
UGC 9363 	 7.67	 0.03	 70.9	 0.3	131	  6	23	a
UGC 9363 	 7.75	 0.07	 71.7	 0.6	112	  7	23	r
UGC 9363 	 7.76	 0.03	 71.8	 0.3	152	  5	23	a
UGC 9363 	 7.86	 0.03	 72.7	 0.3	159	  3	23	a
UGC 9363 	 8.02	 0.05	 74.2	 0.5	149	  4	23	a
UGC 9363 	 8.10	 0.10	 74.9	 0.9	100	  5	23	r
UGC 9363 	 8.26	 0.14	 76.4	 1.3	159	  7	21	a
UGC 9363 	 8.50	 0.16	 78.6	 1.5	128	  8	23	r
UGC 9363 	 8.93	 0.11	 82.6	 1.0	122	  6	23	r
UGC 9363 	 9.28	 0.12	 85.8	 1.1	127	  6	23	r
UGC 9363 	 9.62	 0.10	 89.0	 0.9	141	  7	23	r
UGC 9363 	10.00	 0.14	 92.5	 1.3	144	  7	23	r
UGC 9363 	10.41	 0.09	 96.3	 0.8	161	  9	23	r
UGC 9363 	10.72	 0.09	 99.2	 0.8	183	  8	23	r
UGC 9363 	11.05	 0.12	102.2	 1.1	164	  9	23	r
UGC 9363 	11.71	 0.27	108.3	 2.5	149	 10	22	r
UGC 9406 	 0.20	 0.00	  1.2	 0.0	-10	 13	 1	a
UGC 9406 	 0.26	 0.00	  1.6	 0.0	 21	 13	 1	r
UGC 9406 	 0.36	 0.00	  2.2	 0.0	-24	 13	 1	r
UGC 9406 	 0.48	 0.00	  2.9	 0.0	 -6	 13	 1	a
UGC 9406 	 0.68	 0.04	  4.1	 0.2	  2	  2	 2	r
UGC 9406 	 0.70	 0.00	  4.3	 0.0	 15	 13	 1	a
UGC 9406 	 0.90	 0.00	  5.5	 0.0	 16	 13	 2	r
UGC 9406 	 1.12	 0.00	  6.8	 0.0	 72	 13	 1	r
UGC 9406 	 1.26	 0.00	  7.7	 0.0	 47	 13	 1	a
UGC 9406 	 3.90	 0.57	 23.8	 3.5	 11	  5	16	r
UGC 9406 	 4.63	 0.82	 28.3	 5.0	 20	  3	16	a
UGC 9406 	 5.87	 0.90	 35.8	 5.5	 19	  4	12	r
UGC 9406 	 6.88	 0.59	 42.0	 3.6	 20	  4	16	a
UGC 9406 	 8.29	 0.40	 50.6	 2.4	 13	  4	 9	a
UGC 9465 	 0.35	 0.07	  2.7	 0.5	 14	  4	 2	r
UGC 9465 	 0.47	 0.02	  3.7	 0.2	 16	 10	 3	a
UGC 9465 	 0.56	 0.06	  4.4	 0.5	 23	  4	 7	r
UGC 9465 	 0.82	 0.13	  6.4	 1.0	 32	  1	24	r
UGC 9465 	 1.19	 0.28	  9.3	 2.2	 41	  2	24	a
UGC 9465 	 1.23	 0.14	  9.6	 1.1	 40	  2	24	r
UGC 9465 	 1.87	 0.19	 14.6	 1.5	 65	  3	24	r
UGC 9465 	 1.93	 0.16	 15.1	 1.3	 62	  2	24	a
UGC 9465 	 2.49	 0.17	 19.5	 1.3	 65	  2	24	a
UGC 9465 	 2.63	 0.23	 20.5	 1.8	 79	  2	24	r
UGC 9465 	 3.10	 0.20	 24.2	 1.6	 73	  2	24	a
UGC 9465 	 3.36	 0.19	 26.3	 1.5	 80	  2	24	r
UGC 9465 	 3.82	 0.30	 29.8	 2.3	 77	  2	24	a
UGC 9465 	 3.94	 0.13	 30.8	 1.0	 83	  2	24	r
UGC 9465 	 4.39	 0.12	 34.3	 0.9	 85	  2	24	r
UGC 9465 	 4.86	 0.22	 38.0	 1.7	 83	  1	24	r
UGC 9465 	 5.41	 0.36	 42.3	 2.8	 85	  2	24	a
UGC 9465 	 6.01	 0.40	 47.0	 3.1	 99	  4	13	r
UGC 9465 	 6.57	 0.42	 51.3	 3.3	 88	  3	24	a
UGC 9465 	 8.16	 0.53	 63.8	 4.1	 96	  2	23	a
UGC 9576 	 0.20	 0.03	  1.5	 0.2	 13	  1	 2	r
UGC 9576 	 0.21	 0.00	  1.6	 0.0	-20	  7	 1	a
UGC 9576 	 0.41	 0.09	  3.1	 0.7	  2	  4	 5	a
UGC 9576 	 0.42	 0.06	  3.2	 0.5	 25	  3	 9	r
UGC 9576 	 0.67	 0.07	  5.0	 0.5	 24	  4	 6	a
UGC 9576 	 0.69	 0.07	  5.2	 0.5	 33	  2	15	r
UGC 9576 	 0.95	 0.09	  7.2	 0.7	 33	  7	 7	a
UGC 9576 	 0.95	 0.08	  7.2	 0.6	 52	  5	15	r
UGC 9576 	 1.19	 0.07	  9.0	 0.5	 57	  5	17	r
UGC 9576 	 1.23	 0.07	  9.3	 0.5	 40	  5	 7	a
UGC 9576 	 1.46	 0.07	 11.0	 0.5	 67	  5	19	r
UGC 9576 	 1.52	 0.12	 11.4	 0.9	 68	  4	25	r
UGC 9576 	 1.54	 0.05	 11.6	 0.4	 47	  3	 9	a
UGC 9576 	 1.73	 0.17	 13.0	 1.3	 47	  3	25	a
UGC 9576 	 2.20	 0.26	 16.6	 2.0	 70	  3	25	r
UGC 9576 	 2.25	 0.14	 16.9	 1.1	 55	  3	25	a
UGC 9576 	 2.74	 0.16	 20.6	 1.2	 57	  4	25	a
UGC 9576 	 3.06	 0.24	 23.0	 1.8	 79	  3	25	r
UGC 9576 	 3.41	 0.23	 25.7	 1.7	 53	  3	25	a
UGC 9576 	 3.97	 0.23	 29.9	 1.7	 72	  3	25	r
UGC 9576 	 4.07	 0.15	 30.6	 1.1	 67	  3	25	a
UGC 9576 	 4.52	 0.15	 34.0	 1.1	 84	  4	25	r
UGC 9576 	 4.53	 0.11	 34.1	 0.8	 82	  3	25	a
UGC 9576 	 4.90	 0.11	 36.9	 0.8	 84	  3	25	a
UGC 9576 	 5.32	 0.36	 40.0	 2.7	 86	  4	25	r
UGC 9576 	 5.34	 0.18	 40.2	 1.4	 93	  4	25	a
UGC 9576 	 6.15	 0.26	 46.3	 2.0	 87	  5	25	a
UGC 9576 	 6.51	 0.25	 49.0	 1.9	 80	  4	25	r
UGC 9576 	 6.72	 0.11	 50.6	 0.8	 94	  4	25	a
UGC 9576 	 7.05	 0.10	 53.1	 0.8	 96	  3	25	a
UGC 9576 	 7.34	 0.07	 55.3	 0.5	 93	  2	25	a
UGC 9576 	 7.40	 0.34	 55.7	 2.6	 84	  4	25	r
UGC 9576 	 7.59	 0.08	 57.1	 0.6	 87	  2	25	a
UGC 9576 	 7.93	 0.10	 59.7	 0.8	 97	  3	25	a
UGC 9576 	 8.32	 0.17	 62.6	 1.3	 81	  5	25	r
UGC 9576 	 8.36	 0.10	 62.9	 0.8	102	  3	25	a
UGC 9576 	 8.78	 0.13	 66.1	 1.0	104	  3	25	a
UGC 9576 	 8.92	 0.15	 67.1	 1.1	 83	  3	25	r
UGC 9576 	 9.23	 0.13	 69.5	 1.0	103	  3	25	a
UGC 9576 	 9.27	 0.10	 69.8	 0.8	 90	  3	25	r
UGC 9576 	 9.77	 0.15	 73.5	 1.1	105	  4	25	a
UGC 9576 	 9.78	 0.27	 73.6	 2.0	 95	  3	25	r
UGC 9576 	10.25	 0.13	 77.2	 1.0	101	  5	25	a
UGC 9576 	10.79	 0.23	 81.2	 1.7	119	  4	25	a
UGC 9576 	11.61	 0.33	 87.4	 2.5	138	  4	22	a
UGC 9576 	11.78	 0.98	 88.7	 7.4	 94	  3	25	r
UGC 9576 	13.21	 0.14	 99.4	 1.1	 97	  2	25	r
UGC 9576 	13.77	 0.21	103.7	 1.6	 98	  3	25	r
UGC 9576 	14.94	 0.48	112.5	 3.6	 98	  3	21	r
UGC 9736 	 0.61	 0.00	  2.8	 0.0	 81	  9	 1	a
UGC 9736 	 1.27	 0.00	  5.8	 0.0	119	  9	 1	r
UGC 9736 	 1.79	 0.08	  8.1	 0.4	132	  9	 3	a
UGC 9736 	 2.21	 0.00	 10.0	 0.0	120	  9	 1	r
UGC 9736 	 2.43	 0.02	 11.0	 0.1	 97	  0	 2	a
UGC 9736 	 2.75	 0.06	 12.5	 0.3	155	  3	 2	a
UGC 9736 	 2.75	 0.10	 12.5	 0.5	129	  9	 2	r
UGC 9736 	 4.25	 0.54	 19.3	 2.5	137	  5	18	a
UGC 9736 	 5.19	 1.12	 23.6	 5.1	147	  5	18	r
UGC 9736 	 5.72	 0.51	 26.0	 2.3	156	  6	18	a
UGC 9736 	 7.16	 0.28	 32.5	 1.3	158	  3	18	a
UGC 9736 	 8.04	 0.27	 36.5	 1.2	166	  4	18	a
UGC 9736 	 8.16	 0.89	 37.1	 4.0	152	  8	10	r
